name,positions,GP,MIN,FG%,FT%,3PM,REB,AST,A/TO,STL,BLK,TO,PTS
Onyeka Okongwu,['C'],--,--,--,--,--,--,--,--,--,--,--,--
James Johnson,"['PF', 'SF']",31,19.2,.478,.646,1.0,3.6,2.3,1.54,0.7,1.0,1.5,8.2
Gary Harris,['SG'],54,31.9,.416,.818,1.2,2.9,2.1,2.02,1.4,0.3,1.1,10.3
Dwight Powell,['C'],40,26.5,.638,.667,0.3,5.7,1.5,1.64,0.9,0.6,0.9,9.4
Dario Saric,['PF'],57,24.6,.458,.828,1.2,5.9,1.9,1.49,0.6,0.2,1.3,9.9
Carmelo Anthony,"['PF', 'SF']",49,32.5,.422,.848,1.4,6.3,1.5,0.86,0.8,0.4,1.8,15.1
Nicolas Batum,"['SF', 'SG']",22,23.1,.346,.900,0.6,4.5,3.0,3.00,0.8,0.4,1.0,3.6
Trey Burke,['PG'],25,13.2,.465,.722,0.6,1.4,2.1,4.42,0.3,0.0,0.5,5.9
Bobby Portis,"['PF', 'C']",64,21.1,.446,.769,1.0,5.2,1.4,1.28,0.5,0.3,1.1,10.0
Josh Hart,['SG'],57,27.4,.416,.747,1.9,6.5,1.6,1.45,1.0,0.4,1.1,10.2
